futures_id,date,institutional_investors,long_deal_volume,long_deal_amount,short_deal_volume,short_deal_amount,long_open_interest_balance_volume,long_open_interest_balance_amount,short_open_interest_balance_volume,short_open_interest_balance_amount
TX,2021-01-04,自營商,13593,40189568,12493,36963220,27483,81348961,5910,17466805
TX,2021-01-04,投信,1068,3176557,36,107059,12858,38247393,25023,74433416
TX,2021-01-04,外資,62151,183800404,63049,186503143,47304,140694684,57524,170742878
TX,2021-01-05,自營商,13275,39528499,12555,37383032,28458,84811787,6224,18520890
TX,2021-01-05,投信,127,379980,201,598666,12852,38494059,25091,75152563
TX,2021-01-05,外資,70556,210137967,71261,212246239,47213,141395552,58138,173746102
TX,2021-01-06,自營商,25432,76121878,25704,76967215,28872,85623256,7036,20856479
TX,2021-01-06,投信,346,1034891,227,680124,12893,38449233,25013,74593769
TX,2021-01-06,外資,116866,350177895,117071,350782090,47161,140625011,58291,173375368
TX,2021-01-07,自營商,17513,52887098,16144,48760909,29952,90702765,6675,20192485
TX,2021-01-07,投信,1440,4382679,288,874767,12945,39419845,23913,72819868
TX,2021-01-07,外資,83075,250748398,84743,255865244,48671,148187765,61467,186702072
TX,2021-01-08,外資,90793,278846562,93323,286641721,51101,157872384,66427,204776782
TX,2021-01-08,投信,977,3019055,175,538610,12971,40082756,23137,71497957
TX,2021-01-08,自營商,16046,49239899,16257,49895517,29659,91155891,6595,20245023
TX,2021-01-11,自營商,13860,42752685,13060,40326198,31217,96402619,7287,22495658
TX,2021-01-11,投信,48,149091,0,0,12994,40361718,23112,71790494
TX,2021-01-11,外資,86719,267860837,89091,275137120,50064,155454808,68908,213470117
TX,2021-01-12,自營商,15414,47750063,15953,49431358,31890,98211848,8541,26313935
TX,2021-01-12,投信,4,12430,85,263332,12920,40023348,23119,71618038
TX,2021-01-12,外資,98511,305503847,98157,304372485,52701,163191118,71902,222127370
TX,2021-01-13,自營商,17240,53992804,16869,52837133,31078,97313202,7378,23117329
TX,2021-01-13,投信,913,2877244,120,375691,13051,41134127,22457,70779973
TX,2021-01-13,外資,77343,242198289,79677,249624856,53259,167784245,74794,235049751
TX,2021-01-14,自營商,13050,40973648,11599,36400706,33241,103948127,8096,25324209
TX,2021-01-14,投信,1088,3419553,1314,4116244,13067,41100860,22699,71383835
TX,2021-01-14,外資,72156,226678441,77540,243613361,49059,154217523,77177,242090478
TX,2021-01-15,外資,151133,478291718,147860,467918426,45754,142949422,70606,220060472
TX,2021-01-15,投信,2271,7140887,2121,6646437,13029,40733538,22511,70340036
TX,2021-01-15,自營商,22229,70215321,22765,71952004,32449,100826114,7733,24039720
TX,2021-01-18,自營商,21185,65828545,19756,61397112,33041,102576749,6716,20841586
TX,2021-01-18,投信,16810,52159244,16988,52669248,12966,40416555,22616,70469476
TX,2021-01-18,外資,132430,411873694,135561,421645838,48758,152004442,76741,238857528
TX,2021-01-19,自營商,20907,66041701,20952,66179480,32007,101166043,5739,18114196
TX,2021-01-19,投信,15869,50252464,14896,47146914,13225,41910214,21902,69408547
TX,2021-01-19,外資,115720,365647817,117717,372050778,39270,124517765,69252,219323272
TX,2021-01-20,自營商,24304,76995702,24793,78593183,25776,80747706,4645,14527350
TX,2021-01-20,投信,154,489188,698,2198760,13104,41233046,22325,70247845
TX,2021-01-20,外資,110498,349903590,108491,343454121,33210,104489983,49927,156712627
TX,2021-01-21,自營商,17422,55678348,17014,54433976,26331,84524311,4736,15173371
TX,2021-01-21,投信,1604,5170567,392,1263712,13036,42041100,21045,67870125
TX,2021-01-21,外資,110253,352455876,112921,361055957,30347,97861875,50928,163846319
TX,2021-01-22,外資,82742,265270936,88912,285036199,29227,93384151,56778,181034516
TX,2021-01-22,投信,410,1311967,717,2292379,13286,42454084,21602,69027031
TX,2021-01-22,自營商,12395,39700943,10944,35043135,27528,87584113,4502,14282078
TX,2021-01-25,自營商,16898,53605168,16301,51729372,28482,90263562,4817,15225090
TX,2021-01-25,投信,43,136899,450,1430956,13142,41820472,21865,69578803
TX,2021-01-25,外資,94940,301505350,96512,306495390,29970,95362145,59093,187651085
TX,2021-01-26,自營商,20463,64416281,21020,66223395,28718,89344574,5900,18334761
TX,2021-01-26,投信,16,49920,1250,3907405,12876,40245226,22833,71366825
TX,2021-01-26,外資,123251,388782306,119530,377031102,30505,95338224,58009,180857865
TX,2021-01-27,自營商,14241,44657259,15481,48573538,27430,85453862,5862,18251099
TX,2021-01-27,投信,19,59504,123,385625,12761,39959795,22822,71464811
TX,2021-01-27,外資,99609,312570324,100215,314466791,31457,98496512,59563,186038798
TX,2021-01-28,自營商,17547,54105519,18089,55801931,27533,84239074,6511,19920748
TX,2021-01-28,投信,78,241111,930,2863100,12346,37981234,23259,71553988
TX,2021-01-28,外資,124425,384223378,124131,383337657,31669,97418286,59476,182484972
TX,2021-01-29,外資,134644,413574242,125410,385341575,35390,106656397,52756,158500385
TX,2021-01-29,投信,0,0,1150,3473036,12070,36378980,24133,72736862
TX,2021-01-29,自營商,20099,61611596,20240,62096846,28592,85672567,7686,23055959
TX,2021-02-01,自營商,16353,49757134,16197,49289514,28105,85820855,7022,21460300
TX,2021-02-01,投信,1308,4014612,339,1036204,12262,37670219,23356,71758974
TX,2021-02-01,外資,108181,329082016,110406,335974195,34878,107144249,54502,166935484
TX,2021-02-02,自營商,19229,60177923,19422,60767808,28331,88688145,7458,23371863
TX,2021-02-02,投信,2267,7123637,593,1864049,12566,39576040,21986,69264694
TX,2021-02-02,外資,100747,314929484,99978,312638669,35017,110287593,53872,169155638
TX,2021-02-03,自營商,16748,52823364,15292,48258277,27890,87349850,5568,17446772
TX,2021-02-03,投信,1700,5362206,1712,5379897,12552,39580253,21984,69327326
TX,2021-02-03,外資,84796,267764848,87684,276875998,29485,92966534,51227,160945110
TX,2021-02-04,自營商,17185,53780264,17488,54788598,28533,88826806,6519,20354957
TX,2021-02-04,投信,17990,56382824,18440,57686152,12539,39229104,22421,70127360
TX,2021-02-04,外資,103498,324470282,102642,321830099,30951,96966898,51840,161904375
TX,2021-02-05,外資,105723,334436981,107496,340077714,33261,104750578,55922,175788635
TX,2021-02-05,投信,13939,44059170,13553,42784239,12490,39251466,21986,69093613
TX,2021-02-05,自營商,18025,57008496,18003,56923453,27939,87574389,5740,18023028
TX,2021-02-17,自營商,19941,64797827,20806,67590836,24698,80358024,4244,13794295
TX,2021-02-17,投信,2347,7658928,92,300369,13015,42506990,20256,66156096
TX,2021-02-17,外資,79577,258126830,79129,256862249,26950,88018107,43941,143206378
TX,2021-02-18,自營商,11901,38990337,11113,36393344,25192,82228987,3956,12888777
TX,2021-02-18,投信,596,1953672,77,252301,13011,42624036,19733,64645308
TX,2021-02-18,外資,77753,254618376,83921,274844316,26203,85840269,49352,161372433
TX,2021-02-19,自營商,12064,39189777,11730,38104457,25918,84226210,4415,14326637
TX,2021-02-19,投信,5,16312,375,1221055,12860,41946748,19952,65079434
TX,2021-02-19,外資,84133,273466170,82925,269521790,25014,81589837,46952,152825140
TX,2021-02-22,自營商,13045,42857723,12047,39574401,26423,86245109,3862,12578687
TX,2021-02-22,投信,171,560470,16,52428,12999,42589924,19936,65318310
TX,2021-02-22,外資,82306,270461999,85656,281470626,23744,77793789,49931,163252729
TX,2021-02-23,外資,77299,252336849,78904,257623611,24750,81347297,52542,172330481
TX,2021-02-23,投信,232,762379,7,23002,13013,42771115,19725,64832130
TX,2021-02-23,自營商,13046,42582401,13446,43887980,26651,87250869,4493,14691737
TX,2021-02-24,自營商,17350,56477565,18609,60623509,25769,83009452,4697,15123561
TX,2021-02-24,投信,3,9730,826,2671449,12845,41568974,20380,65953756
TX,2021-02-24,外資,104946,341878910,103787,338135753,24216,78364399,53364,172278087
TX,2021-02-25,自營商,13941,45418295,14158,46165777,25909,84458868,5080,16562437
TX,2021-02-25,投信,999,3273372,40,130220,13261,43461585,19837,65013784
TX,2021-02-25,外資,77508,252662998,76842,250464116,25137,82380751,53619,175246957
TX,2021-02-26,自營商,16826,53941666,17532,56178924,27163,86107528,7038,22333537
TX,2021-02-26,投信,176,560492,1161,3695552,13281,42315907,20842,66406780
TX,2021-02-26,外資,121149,388853689,121221,389128162,26163,83353984,55598,176673994
TX,2021-03-02,自營商,15134,48467807,15342,49137039,27215,86131073,7314,23172217
TX,2021-03-02,投信,2,6362,245,779512,13238,42107417,21042,66930394
TX,2021-03-02,外資,110783,354690514,106112,339777183,29050,92396273,53803,170678218
TX,2021-03-03,外資,87120,279265126,87326,279978658,26876,86960554,51837,167265814
TX,2021-03-03,投信,791,2559577,115,371421,13368,43256160,20496,66320817
TX,2021-03-03,自營商,14507,46516944,15197,48730590,25960,83549064,6747,21736903
TX,2021-03-04,自營商,17000,54246859,17315,55264448,26170,82894894,7232,22930853
TX,2021-03-04,投信,49,156028,684,2177689,13386,42626351,21149,67346738
TX,2021-03-04,外資,118487,378338938,117295,374572697,26287,83700989,50037,158867434
TX,2021-03-05,自營商,15474,48840040,15549,49097066,26515,83599879,7565,23879134
TX,2021-03-05,投信,16,50714,532,1685072,13296,42140316,21575,68379671
TX,2021-03-05,外資,120808,381739207,121954,385423748,26186,82989960,51881,163970824
TX,2021-03-08,自營商,17809,56607546,18221,57920260,26916,84713630,8409,26507359
TX,2021-03-08,投信,8,25626,51,161255,13247,41910832,21569,68239870
TX,2021-03-08,外資,115791,367815652,110290,350386466,27958,88446862,48152,151875359
TX,2021-03-09,自營商,17530,55241360,17084,53844394,27834,87670359,8826,27831868
TX,2021-03-09,投信,366,1158061,12,37939,13405,42418760,21373,67632609
TX,2021-03-09,外資,104796,330703106,108522,342468529,26092,82554063,50017,157846041
TX,2021-03-10,外資,79955,253916508,77719,246829010,26178,83154841,47858,151598770
TX,2021-03-10,投信,27,85887,21,66688,13400,42571777,21362,67866958
TX,2021-03-10,自營商,14478,45969116,14085,44724965,26172,82721161,6794,21483132
TX,2021-03-11,自營商,14723,47339326,14290,45962494,25512,82049839,6054,19480006
TX,2021-03-11,投信,1454,4701383,44,141227,13739,44429153,20291,65616366
TX,2021-03-11,外資,76852,246867073,83109,267061570,24513,79256125,51651,166550842
TX,2021-03-12,自營商,11695,37870387,10669,34572212,26859,86640310,5796,18702631
TX,2021-03-12,投信,2124,6882791,2110,6812141,13748,44605210,20286,65792021
TX,2021-03-12,外資,67362,218378233,69083,223942646,22916,74308724,51775,167445688
TX,2021-03-15,自營商,14626,47278384,14479,46833113,28255,91016356,6989,22524733
TX,2021-03-15,投信,18150,58707856,18152,58671835,13750,44452070,20290,65574753
TX,2021-03-15,外資,84901,274660047,85517,276661868,24368,78783842,54673,176496196
TX,2021-03-16,自營商,18154,58958630,19569,63606500,27877,90344934,8088,26256003
TX,2021-03-16,投信,13643,44328996,13425,43600542,13950,45318658,20272,65851905
TX,2021-03-16,外資,85408,277436333,82005,266343062,28249,91840608,55150,179058911
TX,2021-03-17,外資,54110,175789022,61068,198291352,21981,71032286,49331,159151611
TX,2021-03-17,投信,303,983581,397,1290504,13872,44828755,20288,65562701
TX,2021-03-17,自營商,18345,59554909,16455,53470303,26272,84646395,3127,10031582
TX,2021-03-18,自營商,11104,36136453,11834,38505195,26148,84637713,3684,11872290
TX,2021-03-18,投信,104,337719,57,185143,13896,45120312,20265,65800455
TX,2021-03-18,外資,69338,225546514,68703,223528404,22522,73127390,49236,159603178
TX,2021-03-19,自營商,14584,46809041,13937,44722682,27759,88625939,4597,14619615
TX,2021-03-19,投信,39,124884,575,1841449,13406,42926012,20311,65035822
TX,2021-03-19,外資,82236,264109329,82915,266296967,22187,71041060,49580,158501944
TX,2021-03-22,自營商,12216,39218168,12613,40503318,27001,86872527,4236,13568695
TX,2021-03-22,投信,517,1668538,37,119159,13467,43463396,19892,64199441
TX,2021-03-22,外資,75503,242428425,73063,234637775,22377,72217957,47330,152493485
TX,2021-03-23,自營商,11999,38814609,10908,35283070,28479,91533946,4606,14742756
TX,2021-03-23,投信,609,1963733,23,74382,14052,45300838,19891,64124606
TX,2021-03-23,外資,59210,191603637,60234,194907604,21278,68594461,47255,152079835
TX,2021-03-24,外資,63780,204324152,66021,211480505,20568,65737539,48786,155670500
TX,2021-03-24,投信,0,0,687,2195952,13898,44420788,20424,65279189
TX,2021-03-24,自營商,12223,39126210,12250,39206140,28710,91492329,4864,15438878
TX,2021-03-25,自營商,10439,33338121,10843,34641990,28127,89899624,4662,14837403
TX,2021-03-25,投信,75,240024,16,51073,13957,44746142,20424,65479344
TX,2021-03-25,外資,71519,228612064,68406,218673532,21208,67991199,46313,148219891
TX,2021-03-26,自營商,11256,36369754,11264,36432111,27619,89657285,4177,13497440
TX,2021-03-26,投信,1080,3516139,2,6487,14273,46487161,19662,64039134
TX,2021-03-26,外資,69141,223285931,66871,215946599,25493,83028970,48328,157135378
TX,2021-03-29,自營商,10841,35517220,11040,36184110,27812,90960084,4569,14879989
TX,2021-03-29,投信,141,462666,42,137967,14355,47107368,19645,64467032
TX,2021-03-29,外資,63025,206618932,61431,201363696,25129,82461446,45470,148941362
TX,2021-03-30,自營商,9436,31080249,9726,32035474,27764,91424381,4797,15735884
TX,2021-03-30,投信,384,1268679,117,386520,14314,47293456,19337,63889448
TX,2021-03-30,外資,52191,171918887,51215,168716383,26057,86090470,45422,149803914
TX,2021-03-31,外資,47197,155570870,49211,162211538,23734,77954957,45113,147916822
TX,2021-03-31,投信,39,128111,412,1353953,14159,46506651,19555,64230353
TX,2021-03-31,自營商,11146,36711623,11032,36343884,28076,91925053,5013,16351631
TX,2021-04-01,自營商,8893,29361290,9581,31642880,26987,89004551,4539,14909111
TX,2021-04-01,投信,317,1049161,159,526080,14099,46664870,19337,64001603
TX,2021-04-01,外資,56355,186187069,54792,181018816,24704,81763268,44520,147069892
TX,2021-04-06,自營商,11141,37261789,11620,38879481,26632,88779935,4651,15443660
TX,2021-04-06,投信,709,2372202,3,10043,14265,47724984,18797,62887243
TX,2021-04-06,外資,53493,178988513,52798,176706663,25837,86438198,44958,150127883
TX,2021-04-07,自營商,10451,34984936,9196,30778219,27623,92312460,4387,14593432
TX,2021-04-07,投信,65,217984,192,643128,14169,47514325,18806,63064040
TX,2021-04-07,外資,41773,139871110,45519,152420304,20909,70113671,43776,146514227
TX,2021-04-08,自營商,9729,32702475,9394,31561403,28302,95491560,4731,15897071
TX,2021-04-08,投信,453,1533111,10,33824,14286,48363824,18480,62562192
TX,2021-04-08,外資,50847,170843477,51342,172508710,21067,71316423,44429,150129023
TX,2021-04-09,外資,48158,162688869,50248,169737237,19040,64117479,44492,149560258
TX,2021-04-09,投信,92,310819,46,154906,14344,48307723,18492,62277358
TX,2021-04-09,自營商,8772,29612149,9222,31124270,28363,95215465,5242,17536820
TX,2021-04-12,自營商,10264,34604788,10406,35096351,28292,94940415,5323,17799662
TX,2021-04-12,投信,31,104464,52,175117,14325,48232275,18494,62269212
TX,2021-04-12,外資,51589,174067719,52109,175820462,18594,62600284,44566,149762796
TX,2021-04-13,自營商,16528,55904618,15826,53557029,29666,99307711,6006,20037287
TX,2021-04-13,投信,2,6716,568,1908034,14163,47567852,18898,63470743
TX,2021-04-13,外資,65828,222773862,65262,220866376,20222,67912054,45628,152953926
TX,2021-04-14,自營商,18244,61174120,18069,60595920,28556,95933668,4723,15792425
TX,2021-04-14,投信,88,296688,22,73462,14232,47981765,18901,63722747
TX,2021-04-14,外資,85362,286377763,85126,285531634,19079,64315060,44249,148867412
TX,2021-04-15,自營商,12194,41286385,12034,40748568,28666,97488121,4673,15820818
TX,2021-04-15,投信,637,2172875,45,151874,14287,48772961,18364,62690591
TX,2021-04-15,外資,64431,218102184,63855,216191395,19026,64940876,43620,148571017
TX,2021-04-16,外資,71090,242691263,74596,254660802,19680,67487552,48530,166133709
TX,2021-04-16,投信,1975,6752312,1511,5148887,14534,49869052,18147,62252364
TX,2021-04-16,自營商,12653,43182180,11916,40680005,29576,101090046,4891,16647932
TX,2021-04-19,自營商,14793,50805208,16498,56747538,28213,96953991,5766,19782122
TX,2021-04-19,投信,18431,63462027,17942,61752391,14706,50711343,17830,61465194
TX,2021-04-19,外資,73391,252418341,69076,237548313,23072,79564237,47607,163882916
TX,2021-04-20,自營商,15951,54989468,14779,50989072,29716,102322233,6055,20829606
TX,2021-04-20,投信,12717,43861445,12711,43845543,14724,50820858,17842,61580181
TX,2021-04-20,外資,66442,229313539,70738,244071895,22058,76211002,50890,175519989
TX,2021-04-21,自營商,19729,67835019,20748,71350488,25741,87928658,2565,8666332
TX,2021-04-21,投信,56,192473,534,1831137,14316,49060932,18062,61898474
TX,2021-04-21,外資,62429,214721879,63218,217403004,17137,58723425,43805,149853437
TX,2021-04-22,自營商,13377,46045107,13750,47332424,26587,90667489,3786,12817045
TX,2021-04-22,投信,7,23954,239,817593,14289,48885527,18267,62495060
TX,2021-04-22,外資,87749,302283078,88715,305548228,16068,54966505,44802,153010451
TX,2021-04-23,外資,62388,213912192,63111,216419670,17390,60007855,46847,161402230
TX,2021-04-23,投信,286,987013,7,23987,14362,49563262,18061,62328511
TX,2021-04-23,自營商,9368,32124805,9616,32973908,25808,88762696,3245,11060418
TX,2021-04-26,自營商,10510,36562571,10117,35207319,26265,91741945,3327,11514116
TX,2021-04-26,投信,883,3095183,8,28015,14594,51154889,17418,61053574
TX,2021-04-26,外資,58900,204989875,59929,208644269,17447,61150091,47933,167737785
TX,2021-04-27,自營商,10403,36420211,9553,33439812,27493,96252705,3705,12846608
TX,2021-04-27,投信,37,129881,24,84329,14610,51339540,17421,61217394
TX,2021-04-27,外資,56254,197218799,57221,200600534,17716,62248520,49167,172472099
TX,2021-04-28,自營商,8391,29403391,8192,28704344,26737,93434831,2746,9484081
TX,2021-04-28,投信,6,21038,6,21035,14612,51238439,17423,61095492
TX,2021-04-28,外資,44599,156367010,46487,162972267,15786,55349718,49127,171975224
TX,2021-04-29,自營商,11380,40043693,10976,38626753,27147,95059673,2758,9546264
TX,2021-04-29,投信,43,151092,50,175679,14623,51382297,17441,61284186
TX,2021-04-29,外資,70857,249420950,69540,244774659,16667,58502897,48675,170673711
TX,2021-05-03,外資,85840,298347898,90272,313799765,17359,59839397,53610,184629751
TX,2021-05-03,投信,243,838716,703,2425086,14836,51196069,18114,62507791
TX,2021-05-03,自營商,16024,55632797,15990,55491218,28492,98003900,4046,13809828
TX,2021-05-04,自營商,21537,73244494,21651,73701221,28979,97792147,4585,15364067
TX,2021-05-04,投信,125,423235,863,2924541,14824,50197029,18840,63796008
TX,2021-05-04,外資,115252,392176268,116907,397779038,17741,60006422,57105,192977265
TX,2021-05-05,自營商,14372,48484307,15789,53313314,27135,90598198,4118,13650762
TX,2021-05-05,投信,5,16765,699,2353284,14636,49074508,19346,64867138
TX,2021-05-05,外資,93500,315730766,90554,305747877,16607,55614821,55361,185174017
TX,2021-05-06,自營商,14984,50634408,15398,52067318,26726,90168659,4421,14821034
TX,2021-05-06,投信,446,1511458,37,126091,14767,50045363,19068,64621452
TX,2021-05-06,外資,97023,328017947,92443,312545260,18536,62748263,52710,178168699
TX,2021-05-07,自營商,12205,41778518,11672,39991475,26223,90194738,3583,12225515
TX,2021-05-07,投信,1009,3485249,15,51849,15104,52208486,18411,63639463
TX,2021-05-07,外資,72238,247433136,74099,253873513,17462,60290380,53492,184406187
TX,2021-05-10,外資,66528,229675378,68018,234793096,18507,63699021,56026,192484122
TX,2021-05-10,投信,55,189475,66,227524,15148,52196908,18466,63630143
TX,2021-05-10,自營商,10958,37780141,10226,35288560,26412,90507575,3063,10394206
TX,2021-05-11,自營商,22623,75828374,22474,75381331,28260,93048415,4777,15655297
TX,2021-05-11,投信,26,86374,2485,8229609,14348,47523374,20125,66658025
TX,2021-05-11,外資,128271,430760957,122920,412975616,22733,75218691,55251,182364514
TX,2021-05-12,自營商,37353,119484029,38558,123099414,27112,84485932,4725,14675742
TX,2021-05-12,投信,198,622939,2199,6931919,14303,44902754,22081,69321091
TX,2021-05-12,外資,227383,729477407,219728,706000686,26374,82709476,51237,160159263
TX,2021-05-13,自營商,19748,61934331,20543,64355252,27569,85217202,5741,17704255
TX,2021-05-13,投信,460,1427439,181,564592,14191,44179013,21690,67525308
TX,2021-05-13,外資,160904,504697708,158695,497868037,26491,82383868,48283,149660255
TX,2021-05-14,自營商,15036,47325790,16864,53134884,26525,82992849,6839,21401092
TX,2021-05-14,投信,2671,8430675,2054,6456198,14360,45279530,21242,66952476
TX,2021-05-14,外資,163676,515109683,158314,498185843,28580,90002474,44104,138371849
TX,2021-05-17,外資,164878,510624815,164802,510664761,26529,80764341,41935,127247024
TX,2021-05-17,投信,19818,61057632,21363,65706691,14281,43478445,22708,69092830
TX,2021-05-17,自營商,24853,76575460,24245,74764427,27226,82403321,6277,18991162
TX,2021-05-18,自營商,25311,80167481,25823,81803129,26452,84736260,5641,18044170
TX,2021-05-18,投信,14756,47259450,11731,37525686,14967,48152369,20369,65531488
TX,2021-05-18,外資,145714,460527745,150421,475565791,29854,96099455,49958,160439608
TX,2021-05-19,自營商,18095,58287547,18166,58524917,24202,77146720,2165,6797749
TX,2021-05-19,投信,90,288820,92,295335,14969,47966664,20373,65283241
TX,2021-05-19,外資,98875,318744543,99198,319831357,20476,65537594,40557,129512562
TX,2021-05-20,自營商,8923,28399635,8635,27505067,25132,79837194,2801,8785158
