prediction_id,created_at,symbol_name,symbol_code,her_action,reverse_view,confidence,day_number,date,close_price,change_pct_close,result
32,2024-04-23 16:22:03+00:00,元大台灣50,0050,計畫買入,空,,1,2024-04-25,153.5,1.05,loss
32,2024-04-23 16:22:03+00:00,元大台灣50,0050,計畫買入,空,,2,2024-04-26,156.0,2.7,loss
32,2024-04-23 16:22:03+00:00,元大台灣50,0050,計畫買入,空,,3,2024-04-29,158.8,4.54,loss
32,2024-04-23 16:22:03+00:00,元大台灣50,0050,計畫買入,空,,4,2024-04-30,158.25,4.18,loss
32,2024-04-23 16:22:03+00:00,元大台灣50,0050,計畫買入,空,,5,2024-05-02,156.15,2.8,loss
132,2024-07-29 06:58:52+00:00,元大台灣50,0050,賣出,多,,1,2024-07-30,180.6,0.89,win
132,2024-07-29 06:58:52+00:00,元大台灣50,0050,賣出,多,,2,2024-07-31,180.85,1.03,win
132,2024-07-29 06:58:52+00:00,元大台灣50,0050,賣出,多,,3,2024-08-01,184.0,2.79,win
132,2024-07-29 06:58:52+00:00,元大台灣50,0050,賣出,多,,4,2024-08-02,174.7,-2.4,loss
132,2024-07-29 06:58:52+00:00,元大台灣50,0050,賣出,多,,5,2024-08-05,158.75,-11.31,loss
179,2024-11-18 02:15:06+00:00,元大台灣50,0050,買入,空,,1,2024-11-18,189.65,-0.94,win
179,2024-11-18 02:15:06+00:00,元大台灣50,0050,買入,空,,2,2024-11-19,192.25,0.42,loss
179,2024-11-18 02:15:06+00:00,元大台灣50,0050,買入,空,,3,2024-11-20,191.45,0.0,flat
179,2024-11-18 02:15:06+00:00,元大台灣50,0050,買入,空,,4,2024-11-21,189.35,-1.1,win
179,2024-11-18 02:15:06+00:00,元大台灣50,0050,買入,空,,5,2024-11-22,193.05,0.84,loss
187,2024-12-02 12:24:30+00:00,元大台灣50,0050,看好、推薦零股投資,空,,1,2024-12-03,194.3,3.77,loss
187,2024-12-02 12:24:30+00:00,元大台灣50,0050,看好、推薦零股投資,空,,2,2024-12-04,195.45,4.38,loss
187,2024-12-02 12:24:30+00:00,元大台灣50,0050,看好、推薦零股投資,空,,3,2024-12-05,196.5,4.94,loss
187,2024-12-02 12:24:30+00:00,元大台灣50,0050,看好、推薦零股投資,空,,4,2024-12-06,195.75,4.54,loss
187,2024-12-02 12:24:30+00:00,元大台灣50,0050,看好、推薦零股投資,空,,5,2024-12-09,196.0,4.67,loss
210,2025-01-22 01:09:59+00:00,元大台灣50,0050,獲利賣出,多,,1,2025-01-22,201.3,0.5,win
210,2025-01-22 01:09:59+00:00,元大台灣50,0050,獲利賣出,多,,2,2025-02-03,192.7,-3.79,loss
210,2025-01-22 01:09:59+00:00,元大台灣50,0050,獲利賣出,多,,3,2025-02-04,193.85,-3.22,loss
210,2025-01-22 01:09:59+00:00,元大台灣50,0050,獲利賣出,多,,4,2025-02-05,196.8,-1.75,loss
210,2025-01-22 01:09:59+00:00,元大台灣50,0050,獲利賣出,多,,5,2025-02-06,197.65,-1.32,loss
247,2025-04-29 13:20:51+00:00,元大台灣50,0050,計畫買入,空,,1,2025-04-30,168.6,0.87,loss
247,2025-04-29 13:20:51+00:00,元大台灣50,0050,計畫買入,空,,2,2025-05-02,173.5,3.8,loss
247,2025-04-29 13:20:51+00:00,元大台灣50,0050,計畫買入,空,,3,2025-05-05,171.95,2.87,loss
247,2025-04-29 13:20:51+00:00,元大台灣50,0050,計畫買入,空,,4,2025-05-06,171.0,2.3,loss
247,2025-04-29 13:20:51+00:00,元大台灣50,0050,計畫買入,空,,5,2025-05-07,170.35,1.91,loss
293,2025-12-08 02:53:44+00:00,元大台灣50,0050,停損賣出,多,,1,2025-12-08,63.7,1.11,win
293,2025-12-08 02:53:44+00:00,元大台灣50,0050,停損賣出,多,,2,2025-12-09,63.6,0.95,win
293,2025-12-08 02:53:44+00:00,元大台灣50,0050,停損賣出,多,,3,2025-12-10,64.05,1.67,win
293,2025-12-08 02:53:44+00:00,元大台灣50,0050,停損賣出,多,,4,2025-12-11,63.35,0.56,win
293,2025-12-08 02:53:44+00:00,元大台灣50,0050,停損賣出,多,,5,2025-12-12,63.45,0.71,win
328,2026-03-04 01:45:42+00:00,元大台灣50,0050,買入,空,,1,2026-03-04,75.6,-2.33,win
328,2026-03-04 01:45:42+00:00,元大台灣50,0050,買入,空,,2,2026-03-05,77.4,0.0,flat
328,2026-03-04 01:45:42+00:00,元大台灣50,0050,買入,空,,3,2026-03-06,76.85,-0.71,win
328,2026-03-04 01:45:42+00:00,元大台灣50,0050,買入,空,,4,2026-03-09,73.6,-4.91,win
328,2026-03-04 01:45:42+00:00,元大台灣50,0050,買入,空,,5,2026-03-10,75.2,-2.84,win
334,2026-03-11 01:24:56+00:00,元大台灣50,0050,買入,空,,1,2026-03-11,78.2,2.49,loss
334,2026-03-11 01:24:56+00:00,元大台灣50,0050,買入,空,,2,2026-03-12,76.6,0.39,loss
