市場,策略,n,Gross 勝率,Net 勝率,勝率降 pp,Gross 均報酬,Net 均報酬,Round-Trip 成本
BTC-USD,LONG FNG<15,148,56.1%,54.7%,+1.4 pp,+1.84%,+1.54%,0.300%
BTC-USD,LONG FNG<10,33,75.8%,72.7%,+3.0 pp,+6.78%,+6.48%,0.300%
BTC-USD,SHORT FNG>85,95,10.5%,9.5%,+1.1 pp,-31.51%,-31.81%,0.300%
BTC-USD,SHORT FNG>90,61,13.1%,11.5%,+1.6 pp,-32.60%,-32.90%,0.300%
SPY,LONG FNG<15,66,43.9%,43.9%,+0.0 pp,+0.65%,+0.63%,0.020%
SPY,LONG FNG<10,15,33.3%,33.3%,+0.0 pp,+0.69%,+0.67%,0.020%
SPY,SHORT FNG>85,61,4.9%,4.9%,+0.0 pp,-3.24%,-3.26%,0.020%
SPY,SHORT FNG>90,37,5.4%,5.4%,+0.0 pp,-3.29%,-3.31%,0.020%
Peter Kurz,reverse_3M,19,78.9%,68.4%,+10.5 pp,+4.32%,+3.90%,0.420%
Banini 停損→做多,day=5,16,75.0%,68.8%,+6.2 pp,+3.51%,+3.09%,0.420%
Banini 看多→做空,day=5,123,38.2%,33.3%,+4.9 pp,-1.40%,-1.82%,0.420%
