date,inst_long,inst_short,total_oi,close,retail_long,retail_short,retail_net,retail_ratio,close_next,close_exit,return_pct,signal,strategy_ret,year
2021-01-13,97388,104629,129467,15000.0,32079,24838,7241,5.5929310171703985,14973.0,-77.0,-100.5142589995325,-1,100.5142589995325,2021
2021-01-14,95367,107972,129082,14973.0,33715,21110,12605,9.76511054988302,15300.0,-73.0,-100.47712418300654,-1,100.47712418300654,2021
2021-01-15,91232,100850,122564,15300.0,31332,21714,9618,7.847328742534512,15292.0,15674.0,2.4980381899032174,-1,-2.4980381899032174,2021
2021-01-18,94765,106073,125879,15292.0,31114,19806,11308,8.983229927152266,15045.0,15388.0,2.2798271851113325,-1,-2.2798271851113325,2021
2021-01-19,84502,96893,117092,15045.0,32590,20199,12391,10.582277183752947,-120.0,14877.0,-12497.5,-1,12497.5,2021
2021-01-21,69714,76709,96361,-77.0,26647,19652,6995,7.259160863834954,-73.0,-73.0,-0.0,-1,0.0,2021
2021-01-22,70041,82882,100154,-73.0,30113,17272,12841,12.821255266888992,15674.0,-70.0,-100.44659946408063,-1,100.44659946408063,2021
2021-01-25,71594,85775,102683,15674.0,31089,16908,14181,13.810465218195805,15388.0,14942.0,-2.8983623602807382,-1,2.8983623602807382,2021
2021-01-26,72099,86742,105468,15388.0,33369,18726,14643,13.883832062805778,14877.0,-80.0,-100.53774282449419,-1,100.53774282449419,2021
2021-01-27,71648,88247,104398,14877.0,32750,16151,16599,15.899729879882758,-72.0,14858.0,-20736.111111111113,-1,20736.111111111113,2021
2021-01-28,71548,89246,105753,-72.0,34205,16507,17698,16.735222641438067,-73.0,-88.0,20.54794520547945,-1,-20.54794520547945,2021
2021-01-29,76052,84575,104934,-73.0,28882,20359,8523,8.122248270341357,-70.0,-47.0,-32.857142857142854,-1,32.857142857142854,2021
2021-02-01,75245,84880,104777,-70.0,29532,19897,9635,9.195720434828255,14942.0,-61.0,-100.40824521483067,-1,100.40824521483067,2021
2021-02-02,75914,83316,105712,14942.0,29798,22396,7402,7.002043287422431,-80.0,16125.0,-20256.25,-1,20256.25,2021
2021-02-03,69927,78779,99325,-80.0,29398,20546,8852,8.912157060156053,14858.0,16190.0,8.96486741149549,-1,-8.96486741149549,2021
2021-02-04,72023,80780,99153,14858.0,27130,18373,8757,8.831805391667423,-88.0,16247.0,-18562.5,-1,18562.5,2021
2021-02-05,73690,83648,98855,-88.0,25165,15207,9958,10.073339740023266,-47.0,15376.0,-32814.89361702128,-1,32814.89361702128,2021
2021-02-18,64406,73041,87372,-61.0,22966,14331,8635,9.883028887973264,16125.0,15085.0,-6.449612403100775,-1,6.449612403100775,2021
2021-02-19,63792,71319,87022,16125.0,23230,15703,7527,8.649536898715267,16190.0,15258.0,-5.756639901173564,-1,5.756639901173564,2021
2021-02-22,63166,73729,89818,16190.0,26652,16089,10563,11.76044890779131,16247.0,15516.0,-4.499292177017296,-1,4.499292177017296,2021
2021-02-23,64414,76760,92811,16247.0,28397,16051,12346,13.30230252879508,15376.0,15716.0,2.2112382934443287,-1,-2.2112382934443287,2021
2021-02-24,62830,78441,95069,15376.0,32239,16628,15611,16.42070496165943,-84.0,15855.0,-18975.0,-1,18975.0,2021
2021-02-25,64307,78536,94472,-84.0,30165,15936,14229,15.061605555085105,15085.0,15621.0,3.553198541597614,-1,-3.553198541597614,2021
2021-02-26,66607,83478,99874,15085.0,33267,16396,16871,16.89228427819052,15258.0,15649.0,2.562590116660113,-1,-2.562590116660113,2021
2021-03-02,69503,82159,100238,15258.0,30735,18079,12656,12.625950238432532,15516.0,15688.0,1.108533127094612,-1,-1.108533127094612,2021
2021-03-03,66204,79080,98115,15516.0,31911,19035,12876,13.123375630637518,15716.0,-63.0,-100.40086536014252,-1,100.40086536014252,2021
2021-03-04,65843,78418,96740,15716.0,30897,18322,12575,12.998759561711804,15855.0,16038.0,1.1542100283822139,-1,-1.1542100283822139,2021
2021-03-05,65997,81021,97779,15855.0,31782,16758,15024,15.36526247967355,15621.0,15362.0,-1.6580244542602909,-1,1.6580244542602909,2021
2021-03-08,68121,78130,98021,15621.0,29900,19891,10009,10.211077218147132,15649.0,16114.0,2.971435874496773,-1,-2.971435874496773,2021
2021-03-09,67331,80216,98301,15649.0,30970,18085,12885,13.107699819940793,15688.0,15578.0,-0.7011728709841917,-1,0.7011728709841917,2021
2021-03-10,65750,76014,95755,15688.0,30005,19741,10264,10.7190225053522,-63.0,15465.0,-24647.61904761905,-1,24647.61904761905,2021
2021-03-11,63764,77996,99054,-63.0,35290,21058,14232,14.36792052819674,16038.0,15441.0,-3.7224092779648332,-1,3.7224092779648332,2021
2021-03-12,63523,77857,96742,16038.0,33219,18885,14334,14.81672903185793,15362.0,15570.0,1.3539903658377814,-1,-1.3539903658377814,2021
2021-03-15,66373,81952,100171,15362.0,33798,18219,15579,15.552405386788593,16114.0,15547.0,-3.5186794092093834,-1,3.5186794092093834,2021
2021-03-16,70076,83510,103184,16114.0,33108,19674,13434,13.01946038145449,15578.0,15983.0,2.599820259340095,-1,-2.599820259340095,2021
2021-03-17,62125,72746,100679,15578.0,38554,27933,10621,10.549369779199237,15465.0,15454.0,-0.07112835434852893,-1,0.07112835434852893,2021
2021-03-18,62566,73185,89020,15465.0,26454,15835,10619,11.928780049427095,15441.0,15698.0,1.664399974094942,-1,-1.664399974094942,2021
2021-03-19,63352,74488,91014,15441.0,27662,16526,11136,12.235480255784823,15570.0,15822.0,1.6184971098265895,-1,-1.6184971098265895,2021
2021-03-22,62845,71458,89751,15570.0,26906,18293,8613,9.596550456262326,15547.0,15939.0,2.5213867627194957,-1,-2.5213867627194957,2021
2021-03-23,63809,71752,90333,15547.0,26524,18581,7943,8.793021376462644,15983.0,-46.0,-100.28780579365575,-1,100.28780579365575,2021
2021-03-24,63176,74074,91699,15983.0,28523,17625,10898,11.884535273012792,15454.0,15969.0,3.3324705577843923,-1,-3.3324705577843923,2021
2021-03-25,63292,71399,90884,15454.0,27592,19485,8107,8.920161964702258,15698.0,16158.0,2.9303095935787997,-1,-2.9303095935787997,2021
2021-03-26,67385,72167,95449,15698.0,28064,23282,4782,5.010005343167555,15822.0,16199.0,2.3827581848059665,-1,-2.3827581848059665,2021
2021-04-09,61747,68226,90121,15979.0,28374,21895,6479,7.189223377459193,15976.0,16690.0,4.469203805708563,-1,-4.469203805708563,2021
2021-04-12,61211,68383,90188,15976.0,28977,21805,7172,7.9522774648512,16245.0,17319.0,6.611265004616805,-1,-6.611265004616805,2021
2021-04-13,64051,70532,91662,16245.0,27611,21130,6481,7.0705417730357185,16307.0,-93.0,-100.57030723002391,-1,100.57030723002391,2021
2021-04-14,61867,67873,87606,16307.0,25739,19733,6006,6.8556948154236,16505.0,16569.0,0.3877612844592548,-1,-0.3877612844592548,2021
2021-04-15,61979,66657,89947,16505.0,27968,23290,4678,5.200840494958142,16594.0,16364.0,-1.3860431481258286,-1,1.3860431481258286,2021
2021-04-16,63790,71568,93197,16594.0,29407,21629,7778,8.345762202646007,16690.0,16979.0,1.731575793888556,-1,-1.731575793888556,2021
2021-04-19,65991,71203,95487,16690.0,29496,24284,5212,5.458334642412057,17319.0,-57.0,-100.32911830937121,-1,100.32911830937121,2021
2021-04-20,66498,74787,96611,17319.0,30113,21824,8289,8.579768349359803,-93.0,16808.0,-18173.11827956989,-1,18173.11827956989,2021
2021-04-21,57194,64432,94058,-93.0,36864,29626,7238,7.695251865869995,16569.0,16840.0,1.6355845253183656,-1,-1.6355845253183656,2021
2021-04-22,56944,66855,83917,16569.0,26973,17062,9911,11.810479402266525,16364.0,17253.0,5.43265705206551,-1,-5.43265705206551,2021
2021-04-23,57560,68153,86206,16364.0,28646,18053,10593,12.288007795281072,16979.0,16397.0,-3.4277637081100183,-1,3.4277637081100183,2021
2021-04-26,58306,68678,90731,16979.0,32425,22053,10372,11.43159449361299,-57.0,16214.0,-28545.61403508772,-1,28545.61403508772,2021
2021-04-27,59819,70293,91513,-57.0,31694,21220,10474,11.445368417601872,16808.0,16210.0,-3.5578296049500238,-1,3.5578296049500238,2021
2021-04-28,57135,69296,89689,16808.0,32554,20393,12161,13.55907636387963,16840.0,17287.0,2.654394299287411,-1,-2.654394299287411,2021
2021-04-29,58437,68874,89660,16840.0,31223,20786,10437,11.640642426946242,17253.0,16661.0,-3.4312873123514747,-1,3.4312873123514747,2021
2021-05-03,60687,75770,95151,17253.0,34464,19381,15083,15.851646330569306,16397.0,15991.0,-2.476062694395316,-1,2.476062694395316,2021
2021-05-04,61544,80530,97360,16397.0,35816,16830,18986,19.500821692686934,16214.0,15110.0,-6.808930553842359,-1,6.808930553842359,2021
2021-05-05,58378,78825,95410,16214.0,37032,16585,20447,21.430667644900954,16210.0,15023.0,-7.322640345465762,-1,7.322640345465762,2021
2021-05-06,60029,76199,93933,16210.0,33904,17734,16170,17.214397496087635,17287.0,15172.0,-12.234627176491005,-1,12.234627176491005,2021
2021-05-07,58789,75486,95106,17287.0,36317,19620,16697,17.556200450024185,16661.0,14692.0,-11.818018126162896,-1,11.818018126162896,2021
2021-05-10,60067,77555,95642,16661.0,35575,18087,17488,18.28485393446394,15991.0,15180.0,-5.071602776561816,-1,5.071602776561816,2021
2021-05-11,65341,80153,97777,15991.0,32436,17624,14812,15.148756865111427,15110.0,15115.0,0.03309066843150232,-1,-0.03309066843150232,2021
2021-05-12,67789,78043,92162,15110.0,24373,14119,10254,11.12606063236475,15023.0,15471.0,2.9820941223457362,-1,-2.9820941223457362,2021
2021-05-13,68251,75714,91012,15023.0,22761,15298,7463,8.200017580099328,15172.0,-113.0,-100.74479303981019,-1,100.74479303981019,2021
2021-05-18,71273,75968,93597,15180.0,22324,17629,4695,5.01618641623129,15115.0,16616.0,9.930532583526299,-1,-9.930532583526299,2021
2021-05-24,61175,67240,83654,-120.0,22479,16414,6065,7.250101609008536,-107.0,16684.0,-15692.523364485982,-1,15692.523364485982,2021
2021-05-25,60057,65262,82824,-107.0,22767,17562,5205,6.284410315850478,16616.0,16444.0,-1.0351468464130957,-1,1.0351468464130957,2021
2021-05-26,60866,65211,83335,16616.0,22469,18124,4345,5.213895722085558,15890.0,16547.0,4.1346758967904345,-1,-4.1346758967904345,2021
2021-05-27,59482,64754,80592,15890.0,21110,15838,5272,6.541592217589836,16411.0,16440.0,0.1767107427944671,-1,-0.1767107427944671,2021
2021-05-28,60238,65794,84147,16411.0,23909,18353,5556,6.602730935149204,16560.0,16460.0,-0.6038647342995169,-1,0.6038647342995169,2021
2021-05-31,60420,66797,83615,16560.0,23195,16818,6377,7.626622017580578,16684.0,17090.0,2.433469192040278,-1,-2.433469192040278,2021
2021-06-01,64381,69923,88368,16684.0,23987,18445,5542,6.271500995835597,16444.0,16105.0,-2.061542203843347,-1,2.061542203843347,2021
2021-06-02,64965,69855,88225,16444.0,23260,18370,4890,5.542646642108246,16547.0,16688.0,0.8521182087387441,-1,-0.8521182087387441,2021
2021-06-04,67507,74142,92595,16440.0,25088,18453,6635,7.165613694043955,16460.0,16903.0,2.6913730255164032,-1,-2.6913730255164032,2021
2021-06-07,68522,73964,91325,16460.0,22803,17361,5442,5.958937859293731,17090.0,16891.0,-1.1644236395552956,-1,1.1644236395552956,2021
2021-06-08,68105,74812,91902,17090.0,23797,17090,6707,7.297991338599813,16105.0,16735.0,3.9118286246507297,-1,-3.9118286246507297,2021
2021-06-09,68599,73489,93885,16105.0,25286,20396,4890,5.208499760345103,16688.0,16680.0,-0.047938638542665384,-1,0.047938638542665384,2021
2021-06-15,68358,74044,96216,16903.0,27858,22172,5686,5.909620021618026,16891.0,16790.0,-0.5979515718429933,-1,0.5979515718429933,2021
2021-06-16,60532,68173,97508,16891.0,36976,29335,7641,7.836280100094352,16735.0,16835.0,0.5975500448162534,-1,-0.5975500448162534,2021
2021-06-17,62969,73075,88327,16735.0,25358,15252,10106,11.441575056324794,16680.0,16909.0,1.3729016786570742,-1,-1.3729016786570742,2021
2021-06-18,61736,70800,86366,16680.0,24630,15566,9064,10.494870666697544,-167.0,16859.0,-10195.209580838324,-1,10195.209580838324,2021
2021-06-21,64484,74228,91807,-167.0,27323,17579,9744,10.613569771368196,16471.0,-213.0,-101.29318195616538,-1,101.29318195616538,2021
2021-06-22,62704,73748,90537,16471.0,27833,16789,11044,12.198327755503275,16790.0,17220.0,2.5610482430017867,-1,-2.5610482430017867,2021
2021-06-23,63659,75956,94653,16790.0,30994,18697,12297,12.991664289562928,16835.0,16937.0,0.6058806058806059,-1,-0.6058806058806059,2021
2021-06-24,64511,76647,94993,16835.0,30482,18346,12136,12.77567820786795,16909.0,16849.0,-0.3548406174226743,-1,0.3548406174226743,2021
2021-06-25,62949,73227,90901,16909.0,27952,17674,10278,11.306806305761214,16859.0,17382.0,3.1022006050180915,-1,-3.1022006050180915,2021
2021-06-28,63510,74494,93103,16859.0,29593,18609,10984,11.79768643330505,-213.0,17157.0,-8154.929577464789,-1,8154.929577464789,2021
2021-06-29,64623,73836,92366,-213.0,27743,18530,9213,9.974449472749713,17220.0,17155.0,-0.37746806039488967,-1,0.37746806039488967,2021
2021-06-30,65374,74696,96103,17220.0,30729,21407,9322,9.700009364952185,16937.0,17825.0,5.242959201747653,-1,-5.242959201747653,2021
2021-07-01,64367,74337,92577,16937.0,28210,18240,9970,10.76941356924506,16849.0,17210.0,2.1425603893406135,-1,-2.1425603893406135,2021
2021-07-02,64854,73992,91748,16849.0,26894,17756,9138,9.95989013384488,17382.0,17363.0,-0.10930848003681971,-1,0.10930848003681971,2021
2021-07-05,65886,74488,96172,17382.0,30286,21684,8602,8.944391298922763,17157.0,17255.0,0.5711954304365565,-1,-0.5711954304365565,2021
2021-07-06,65210,74369,94106,17157.0,28896,19737,9159,9.732641914436911,17155.0,0.0,-100.0,-1,100.0,2021
2021-07-07,65426,73367,92834,17155.0,27408,19467,7941,8.553978068380118,17825.0,17568.0,-1.4417952314165499,-1,1.4417952314165499,2021
2021-07-08,65400,72756,93207,17825.0,27807,20451,7356,7.892111107534842,17210.0,17487.0,1.6095293434049969,-1,-1.6095293434049969,2021
2021-07-09,64181,73777,92582,17210.0,28401,18805,9596,10.36486574064073,17363.0,17794.0,2.482289926855958,-1,-2.482289926855958,2021
2021-07-12,63544,73830,92390,17363.0,28846,18560,10286,11.133239528087456,17255.0,17096.0,-0.9214720370906984,-1,0.9214720370906984,2021
2021-07-13,64936,76103,95276,17255.0,30340,19173,11167,11.720685167303413,0.0,17035.0,inf,-1,-inf,2021
2021-07-14,62683,72469,91843,0.0,29160,19374,9786,10.655139749354877,17568.0,-93.0,-100.52937158469946,-1,100.52937158469946,2021
2021-07-15,62443,72085,93800,17568.0,31357,21715,9642,10.279317697228144,17487.0,17224.0,-1.5039743809687196,-1,1.5039743809687196,2021
